Date,Value
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,58.0
2020-01-16,58.0
2020-01-17,62.0
2020-01-18,63.0
2020-01-19,140.0
2020-01-20,216.0
2020-01-21,309.0
2020-01-22,456.0
2020-01-23,589.0
2020-01-24,864.0
2020-01-25,1336.0
2020-01-26,1994.0
2020-01-27,2783.0
2020-01-28,4556.0
2020-01-29,6038.0
2020-01-30,7794.0
2020-01-31,9807.0
2020-02-01,11918.0
2020-02-02,14449.0
2020-02-03,17207.0
2020-02-04,20369.0
2020-02-05,24159.0
2020-02-06,27743.0
2020-02-07,30628.0
2020-02-08,33558.0
2020-02-09,35523.0
2020-02-10,37728.0
2020-02-11,38433.0
2020-02-12,38986.0
2020-02-13,52400.0
2020-02-14,54454.0
2020-02-15,55001.0
2020-02-16,54430.0
2020-02-17,53655.0
2020-02-18,52311.0
2020-02-19,50173.0
2020-02-20,46879.0
2020-02-21,44714.0
2020-02-22,42365.0
2020-02-23,40676.0
2020-02-24,38196.0
2020-02-25,36496.0
2020-02-26,35281.0
2020-02-27,21212.0
2020-02-28,18334.0
2020-02-29,17558.0
2020-03-01,17250.0
2020-03-02,17036.0
2020-03-03,16920.0
2020-03-04,17235.0
2020-03-05,19568.0
2020-03-06,21534.0
2020-03-07,23688.0
2020-03-08,26893.0
2020-03-09,30809.0
2020-03-10,35015.0
2020-03-11,39599.0
2020-03-12,46602.0
2020-03-13,55520.0
2020-03-14,65024.0
2020-03-15,76536.0
2020-03-16,87858.0
2020-03-17,102450.0
2020-03-18,119788.0
2020-03-19,141401.0
2020-03-20,167138.0
2020-03-21,196912.0
2020-03-22,228749.0
2020-03-23,257444.0
2020-03-24,292644.0
2020-03-25,333905.0
2020-03-26,376851.0
2020-03-27,426521.0
2020-03-28,481456.0
2020-03-29,534796.0
2020-03-30,579734.0
2020-03-31,627297.0
2020-04-01,675937.0
2020-04-02,725216.0
2020-04-03,773570.0
2020-04-04,822190.0
2020-04-05,866164.0
2020-04-06,903961.0
2020-04-07,931308.0
2020-04-08,962016.0
2020-04-09,991556.0
2020-04-10,1019000.0
2020-04-11,1040098.0
2020-04-12,1056087.0
2020-04-13,1071376.0
2020-04-14,1073498.0
2020-04-15,1076236.0
2020-04-16,1077295.0
2020-04-17,1079185.0
2020-04-18,1080797.0
2020-04-19,1083230.0
2020-04-20,1084178.0
2020-04-21,1088178.0
2020-04-22,1085686.0
2020-04-23,1081047.0
2020-04-24,1074974.0
2020-04-25,1084364.0
2020-04-26,1085049.0
2020-04-27,1091517.0
2020-04-28,1095289.0
2020-04-29,1095093.0
