Date,-1,0,1,10,100,101,102,103,104,105,106,107,108,109,11,110,111,112,113,114,115,116,117,118,119,12,120,121,122,123,124,125,126,127,128,129,13,130,131,132,133,134,135,136,137,138,139,14,140,141,142,143,144,145,146,147,148,149,15,150,151,152,153,154,155,156,157,158,159,16,160,161,162,163,164,165,166,167,168,169,17,170,171,172,173,174,175,176,177,178,179,18,180,181,182,183,184,185,186,187,188,189,19,190,191,192,193,194,195,196,197,198,199,2,20,200,201,202,203,204,205,206,207,208,209,21,210,211,212,213,214,215,216,217,218,219,22,220,221,222,223,224,225,226,227,228,229,23,230,231,232,233,234,235,236,237,238,239,24,240,241,242,243,244,245,246,247,248,249,25,250,251,252,253,254,255,256,257,258,259,26,260,261,262,263,264,265,266,267,268,269,27,270,271,272,273,274,275,276,277,278,279,28,280,281,282,283,284,285,286,287,288,289,29,290,291,292,293,294,295,296,297,298,299,3,30,300,301,302,303,304,305,306,307,308,309,31,310,311,312,313,314,315,316,317,318,319,32,320,321,322,323,324,325,326,327,328,329,33,330,331,332,333,334,335,336,337,338,339,34,340,341,342,343,344,345,346,347,348,349,35,350,351,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,68,69,7,70,71,72,73,74,75,76,77,78,79,8,80,81,82,83,84,85,86,87,88,89,9,90,91,92,93,94,95,96,97,98,99
2019-11-30,98.0,,,,,,,2.0,,,,,,,10.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,3.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,2.0,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,12.0,,5.0,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,,,2.0,2.0,,,,,2.0,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,
2019-12-10,119.0,,,,,,,1.0,,,1.0,,,,10.0,,5.0,,,,,,,,,,,,,,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,4.0,,6.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,1.0,,,,,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,2.0,,,,,2.0,2.0,,,4.0,,,1.0,1.0,,,,,,2.0,,1.0,,,,,1.0
2019-12-19,67.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,1.0,,,,,,,,,
2019-12-27,140.0,,,1.0,,,,1.0,,,,,1.0,,5.0,,2.0,,,,1.0,,,,,1.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,4.0,,,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,1.0,2.0,,2.0,,,3.0,3.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,
2020-01-05,145.0,,,22.0,,1.0,,,,,,,,1.0,4.0,,2.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,2.0,,4.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,,1.0,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,2.0,,,5.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,4.0,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,
2020-01-13,129.0,,,,,2.0,,,,,,,,,4.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,1.0,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,9.0,1.0,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,4.0,,,,3.0,,,,,,1.0,,,,1.0,,,,,,1.0,2.0,2.0,,,,4.0,1.0,,,,,,,,2.0,3.0,,2.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,1.0,
2020-01-22,182.0,,,,,,,,,,1.0,,1.0,,6.0,,4.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,2.0,2.0,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,3.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,10.0,2.0,,2.0,2.0,,,,,,,,,,,,,,,,5.0,5.0,,,,,2.0,2.0,,1.0,,,,,,,3.0,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,
2020-01-31,255.0,,,1.0,,,,2.0,,,,,1.0,,8.0,,2.0,,,1.0,1.0,,,,,5.0,,,,,,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,4.0,2.0,,1.0,3.0,,,,,,1.0,,,,,,,,,,8.0,1.0,1.0,,1.0,,4.0,3.0,,,,,,,,,4.0,,,1.0,,1.0,6.0,,,1.0,,,,,2.0,,,,,,,1.0,,,,1.0,
2020-02-08,245.0,,,,,2.0,,2.0,1.0,2.0,,,,,7.0,,4.0,,,1.0,1.0,,,1.0,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,4.0,,9.0,,,1.0,,1.0,,,,,,,,2.0,,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,10.0,2.0,,,1.0,,2.0,,,,,,,,,2.0,1.0,,,,,1.0,5.0,,,3.0,,,1.0,,,,1.0,,,,1.0,2.0,,1.0,,,2.0
